Aruba,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,97,58,,62,92,28,14,,,,220,,,,,,,,,,,,
Africa Eastern and Southern,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Afghanistan,,,,,556990,,,,,,,,,,,,,,,,,,,861302,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Africa Western and Central,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Angola,,,,,,,,,,,,,290468,310894,,,,,,,,,,,,,,,477948,,,,,,,,,,214136,246024,215471,170490,,,,,,,,,,
Albania,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3469,6463,9222,,11586,12820,,,,12549,17511,16575,14461,10140,6487,,,,,,,4748,
Andorra,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Heavily indebted poor countries (HIPC),,,10631091,10759969,10944756,10827007,10723982,10663190,10671435,10724873,10637004,10650574,11055797,11185291,11574815,11935910,12321416,12935005,13433158,14158736,14909702,15047783,15783597,16347380,16485498,15937237,16233376,15649107,16080731,16701851,16276209,15695941,14741973,14006982,13363902,12536771,11768955,11133351,9894350,10141774,10504008,10095187,10204803,9954122,10067119,10451670,10377296,10481587,10581406,10679989,11023545,
Croatia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18281,8079,6318,2223,,,,,,,3777,8385,5615,3465,,,,,,,,,,
Haiti,,,,,,,,,,,,263820,239685,228648,250688,232044,233534,293366,,,,,,,,,,271092,,,,,,,,,,,,,,,,,,,,,,,,
Hungary,,,,,,,,,,,,,,,,,,,,,,,,,,,52078,31370,3518,2562,8146,6184,4875,7060,7393,4991,3927,5502,3669,3133,3722,5309,6428,6455,6104,5685,4297,4803,8614,10298,,
IBRD only,25067084,25727108,25506508,23621616,23153318,22550008,22189952,22300396,24004544,23721876,22753836,21681300,21325630,20836666,19823042,18463252,16850162,16145851,14798528,13116550,13033334,13126212,13964203,14400154,15225148,17165978,18328420,19865810,18042790,15277898,14208679,13504405,13248889,12638646,11555224,10536736,9844611,7137926,7691775,8789231,8273613,9225353,7544776,7142443,8692064,8420270,8433149,8314549,8064057,8172220,9029930,
IDA & IBRD total,44125808,44916812,44345432,42131544,41939304,41285380,40958304,40820232,42529176,42006792,40923276,39710456,39426816,39133720,39183696,38732944,38286056,38582168,37699616,37020632,37939348,38212960,39656936,40585148,41779584,43707280,45870944,46807056,45327956,43074128,40798784,39313376,37945808,36092884,33396960,31276114,30785150,26354892,26879364,28029136,28137816,28858564,27553696,26656328,28133256,29100570,28595896,28768934,27579304,28337034,29546572,
IDA total,,,18839376,18510548,18787960,18738142,18770808,18521632,18525370,18284992,18169670,18029716,18102730,18298144,19360980,20270052,21437468,22437824,22903350,23905932,24908968,25091544,25704072,26205956,26576072,26556900,27554118,26958442,27298612,27806368,26597844,25816744,24705920,23470504,21849672,20749960,20944420,19218002,19187612,19239816,19864220,19633126,20008630,19516720,19444850,20682706,20163650,20455268,19516214,20166488,20517492,
IDA blend,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8586266,8411993,8015697,7907212,7984794,7791748,7013491,6948634,7919805,6643582,7829139,7667704,7806898,8054151,8350326,7911825,7601682,8415570,7968022,8168971,7388563,8111652,8303603,
Indonesia,,2318790,2275244,,2215170,2272410,2050853,,1117562,,,628708,,,,,,64015,,66962,304802,438234,536174,718043,619613,621753,851083,849363,,,,418627,551569,578626,681910,746392,564999,186422,425944,303066,434529,720353,648387,966571,909343,,608103,428719,482011,,,
IDA only,13327861,13374971,12986375,12608032,13040664,12898617,12775802,12680743,12711989,12889961,12911782,13083482,13434050,13577439,14370849,14903409,15384856,16023409,16017824,16690293,17530532,17526024,18090196,18644300,18779442,18368808,18632788,18198714,18698900,19384236,18574408,17901758,16712124,15662491,14828245,13790744,13020735,12573383,11358451,11572200,12057306,11579059,11658595,11602060,11839511,12264730,12194724,12285414,12126683,12053162,12213038,
Isle of Man,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
